																	
																	
		1.618		1.618		1.618	1.618		1.618	1.618	1.618		1.618	1.618	1.618	1.618	1.618
																	
		1.618		1.618		1.618	1.618		1.618	1.618	1.618		1.618	1.618	1.618	1.618	1.618
																	
		1.618		1.618		1.618	1.618		1.618	1.618	1.618		1.618	1.618	1.618	1.618	1.618
		1.618		1.618		1.618	1.618		1.618	1.618	1.618		1.618	1.618	1.618	1.618	1.618
																	
		1.618		1.618		1.618	1.618		1.618	1.618	1.618		1.618	1.618	1.618	1.618	1.618
		1.618		1.618		1.618	1.618		1.618	1.618	1.618		1.618	1.618	1.618	1.618	1.618
		1.618		1.618		1.618	1.618		1.618	1.618	1.618		1.618	1.618	1.618	1.618	1.618
																	
		1.618		1.618		1.618	1.618		1.618	1.618	1.618		1.618	1.618	1.618	1.618	1.618
		1.618		1.618		1.618	1.618		1.618	1.618	1.618		1.618	1.618	1.618	1.618	1.618
		1.618		1.618		1.618	1.618		1.618	1.618	1.618		1.618	1.618	1.618	1.618	1.618
		1.618		1.618		1.618	1.618		1.618	1.618	1.618		1.618	1.618	1.618	1.618	1.618
		1.618		1.618		1.618	1.618		1.618	1.618	1.618		1.618	1.618	1.618	1.618	1.618
																	
		1.618		1.618		1.618	1.618		1.618	1.618	1.618		1.618	1.618	1.618	1.618	1.618
		1.618		1.618		1.618	1.618		1.618	1.618	1.618		1.618	1.618	1.618	1.618	1.618
		1.618		1.618		1.618	1.618		1.618	1.618	1.618		1.618	1.618	1.618	1.618	1.618
		1.618		1.618		1.618	1.618		1.618	1.618	1.618		1.618	1.618	1.618	1.618	1.618
		1.618		1.618		1.618	1.618		1.618	1.618	1.618		1.618	1.618	1.618	1.618	1.618
		1.618		1.618		1.618	1.618		1.618	1.618	1.618		1.618	1.618	1.618	1.618	1.618
		1.618		1.618		1.618	1.618		1.618	1.618	1.618		1.618	1.618	1.618	1.618	1.618
		1.618		1.618		1.618	1.618		1.618	1.618	1.618		1.618	1.618	1.618	1.618	1.618
